ratio001,ratio002,ratio003,ratio004,ratio005,ratio006,ratio008,ratio011,ratio012,ratio017,ratio018,ratio019,ratio027,ratio029,ratio030,DIO,DPO,DSO,turnover,status,ratio036,ratio037,ratio039,ratio040
-0.382263685,-0.309276057,-1.05666038,1.636698242,-1.133887087,-0.253721679,-0.438062469,-3.467955763,-0.23140994,-1.297426442,-1.272000538,-0.556378121,-0.455513008,-0.463480549,-0.453333278,-0.320362806,-0.678733134,-0.547993808,-0.191812923,1,1,1,1,1
-1.368040446,-0.311761381,-0.559659543,-0.387472638,-0.11252742,-0.268525799,3.449548399,1.75463047,-3.405226646,4.328932123,4.38273126,-0.448207827,-0.822614995,-0.42170863,-0.415308239,-0.320362806,0.130537397,-0.115655305,-0.191925891,1,1,1,1,1
-0.334079379,-0.035890423,0.521317275,-0.982294783,-0.848345675,-0.294186272,-0.247675456,0.041605055,0.130767341,-1.223749941,-1.198244999,0.56859293,-0.282047233,2.54409757,2.702744969,-0.320362806,0.799534369,-0.08805923,-0.20717652,1,0,0,1,0
-0.509210797,-0.572720394,-0.982110254,-0.724834452,-0.529857177,-0.389261617,-0.461238353,-3.467955763,0.921838772,0.407658277,0.434913361,-0.534744062,-0.448185787,2.54409757,2.702744969,-0.320362806,-0.236331911,0.583445253,-0.21384161,1,1,1,1,1
-0.460099871,-0.309276057,-1.330010839,-1.18648746,-1.100940001,-0.402420834,-1.119889311,1.75463047,-0.260002884,-0.350157153,-0.418543588,-0.469841886,3.856037681,-3.076731758,-2.924960821,-0.320362806,-0.732684503,-0.79635848,-0.218925153,1,1,1,1,1
0.161199685,-0.309276057,-0.398134272,-0.263181444,0.041225648,-0.008631259,0.043555382,0.041605055,0.20701519,2.144318639,1.994316182,-0.361671593,0.070729627,-0.212849039,-0.225183043,-0.320362806,-0.732684503,-0.79635848,-0.220167797,1,0,0,1,0
-0.447127173,-0.309276057,4.616107164,-1.15097569,-1.057010553,-0.515998038,3.449548399,-3.467955763,-0.107507186,-1.297426442,-1.272000538,-0.469841886,-0.822614995,2.54409757,2.702744969,-0.320362806,-0.732684503,-0.79635848,-0.247731897,1,1,1,1,1
-0.796000078,-0.500646,-0.634209669,-0.174402019,0.030243286,-0.515998038,-0.426666063,1.75463047,-3.405226646,-0.613287511,-0.587127677,-0.556378121,-0.453784113,-3.076731758,-2.924960821,-0.169547173,1.565643805,-0.79635848,-0.248296735,1,1,1,1,1
-0.510137419,-0.401233042,-0.982110254,-0.263181444,0.041225648,-0.177398219,-0.278417021,-0.386651299,-0.031259337,1.870663067,1.910024138,3.48919085,-0.328233422,-0.338164794,-0.339258161,-0.320362806,-0.560040123,0.2062989,-0.252476537,1,1,1,1,1
-0.569441179,-0.401233042,-0.820584982,-0.520641775,-0.27726285,-0.3307031,-0.352541542,-3.467955763,0.921838772,4.328932123,4.38273126,-0.664548414,-0.383393397,-0.547024385,-0.529383356,-0.320362806,-0.570830397,-0.20764222,-0.257221177,1,1,1,1,1
4.180308207,-1.040259533,-0.472684397,-0.360838811,-1.122904725,-0.26951274,-0.333675223,1.75463047,-3.405226646,0.544486064,0.571887933,-0.751084649,-0.362564332,-0.463480549,-0.453333278,0.231558234,0.680841358,-0.722768947,-0.265806716,1,1,1,1,1
-0.345662145,-0.309276057,0.769817693,-1.159853632,-1.067992915,-0.287935644,-1.119889311,-0.172523122,0.102174398,-1.265850799,-1.240391021,-0.448207827,-0.822614995,-3.076731758,-2.924960821,-0.320362806,-0.516879028,-0.759563714,-0.270438389,1,1,1,1,1
-0.620868659,-0.309276057,-0.746034857,-0.334204983,-0.05761561,-0.273789486,-0.488053425,-3.467955763,0.921838772,2.43902464,2.457922426,-0.513110003,-0.48580983,-0.463480549,-0.453333278,-0.320362806,-0.732684503,-0.189244837,-0.275408964,1,1,1,1,1
